id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,PlanArea,StructureType,Footprint
19,61.21923258,-149.9022087,7,1975,COM4,87957,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902604,61.219402],[-149.902605,61.219013],[-149.902238,61.219013],[-149.902239,61.218616],[-149.901901,61.218616],[-149.901900,61.219036],[-149.902133,61.219036],[-149.902133,61.219220],[-149.901905,61.219220],[-149.901904,61.219401],[-149.902604,61.219402]]]},""properties"":{}}"
20,61.21883297,-149.9031245,6,1982,COM4,92092,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.903588,61.218975],[-149.903595,61.218637],[-149.902828,61.218633],[-149.902821,61.218971],[-149.903588,61.218975]]]},""properties"":{}}"
21,61.21686074,-149.8984376,2,1947,COM1,12076,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898034,61.216885],[-149.898337,61.216886],[-149.898334,61.217023],[-149.898581,61.217025],[-149.898584,61.216872],[-149.898734,61.216872],[-149.898738,61.216648],[-149.898325,61.216646],[-149.898325,61.216672],[-149.898038,61.216671],[-149.898034,61.216885]]]},""properties"":{}}"
22,61.21686057,-149.8986481,2,1936,COM1,2346,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898034,61.216885],[-149.898337,61.216886],[-149.898334,61.217023],[-149.898581,61.217025],[-149.898584,61.216872],[-149.898734,61.216872],[-149.898738,61.216648],[-149.898325,61.216646],[-149.898325,61.216672],[-149.898038,61.216671],[-149.898034,61.216885]]]},""properties"":{}}"
23,61.21684833,-149.9004877,2,1968,COM4,9042,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899804,61.216652],[-149.899805,61.216863],[-149.899899,61.216863],[-149.899900,61.216967],[-149.900369,61.216966],[-149.900369,61.216926],[-149.900624,61.216926],[-149.900623,61.216664],[-149.900366,61.216664],[-149.900365,61.216651],[-149.899804,61.216652]]]},""properties"":{}}"
24,61.2172773,-149.9013347,4,1965,RES4,32118,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.901506,61.217076],[-149.901217,61.217077],[-149.901223,61.217441],[-149.901512,61.217440],[-149.901506,61.217076]]]},""properties"":{}}"
25,61.21826943,-149.8992935,1,1957,COM1,1472,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899300,61.218997],[-149.899291,61.218733],[-149.898967,61.218736],[-149.898964,61.218637],[-149.898487,61.218641],[-149.898487,61.218662],[-149.898388,61.218663],[-149.898389,61.218686],[-149.897869,61.218691],[-149.897869,61.218703],[-149.897820,61.218703],[-149.897821,61.218736],[-149.897774,61.218736],[-149.897784,61.219010],[-149.899300,61.218997]]]},""properties"":{}}"
26,61.21786125,-149.8979492,2,1976,COM4,6204,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898106,61.217863],[-149.897755,61.217862],[-149.897753,61.218015],[-149.898104,61.218016],[-149.898106,61.217863]]]},""properties"":{}}"
27,61.21786078,-149.8985144,2,1968,COM4,16541,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898322,61.217657],[-149.898317,61.217962],[-149.898888,61.217964],[-149.898894,61.217659],[-149.898322,61.217657]]]},""properties"":{}}"
28,61.21728136,-149.9001244,7,1979,COM4,83463,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899800,61.217376],[-149.900516,61.217376],[-149.900516,61.217341],[-149.900645,61.217341],[-149.900645,61.217091],[-149.899800,61.217091],[-149.899800,61.217376]]]},""properties"":{}}"
