id,Latitude,Longitude,ReplacementCost,PlanArea,YearBuilt,NumberOfStories,OccupancyClass,StructureType,Footprint
17,37.8722295,-122.2767885,1327800,9764.5,1950,3,COM10,C2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276880,37.872366],[-122.276849,37.872083],[-122.276697,37.872093],[-122.276728,37.872376],[-122.276880,37.872366]]]},""properties"":{}}"
18,37.87330534,-122.2772675,176133.3333,880.6666667,1950,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.277306,37.873259],[-122.277148,37.873262],[-122.277151,37.873364],[-122.277375,37.873359],[-122.277371,37.873228],[-122.277305,37.873229],[-122.277306,37.873259]]]},""properties"":{}}"
19,37.8742405,-122.276353,198000,990,1929,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276290,37.874210],[-122.276290,37.874271],[-122.276416,37.874271],[-122.276416,37.874210],[-122.276290,37.874210]]]},""properties"":{}}"
20,37.87475854,-122.2704132,99060,762,2015,2,COM10,C1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.270463,37.874751],[-122.270464,37.874707],[-122.270379,37.874705],[-122.270374,37.874819],[-122.270436,37.874821],[-122.270439,37.874751],[-122.270463,37.874751]]]},""properties"":{}}"
21,37.86658262,-122.2660773,6583875.3,48271.5,1923,3,COM4,RM2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.266326,37.866759],[-122.266270,37.866405],[-122.266122,37.866419],[-122.266110,37.866346],[-122.265894,37.866368],[-122.265906,37.866447],[-122.265838,37.866454],[-122.265863,37.866614],[-122.265874,37.866613],[-122.265903,37.866801],[-122.266326,37.866759]]]},""properties"":{}}"
22,37.8687531,-122.2565836,2897183.5,21965,1952,1,COM4,W2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.256786,37.868943],[-122.256773,37.868850],[-122.256724,37.868854],[-122.256709,37.868746],[-122.256766,37.868741],[-122.256753,37.868641],[-122.256689,37.868646],[-122.256680,37.868585],[-122.256711,37.868583],[-122.256704,37.868531],[-122.256400,37.868557],[-122.256458,37.868971],[-122.256786,37.868943]]]},""properties"":{}}"
23,37.87021056,-122.26398,1541840,7709.2,2002,3,RES3,RM2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.264161,37.870021],[-122.263739,37.870090],[-122.263834,37.870453],[-122.263965,37.870431],[-122.263937,37.870323],[-122.264122,37.870292],[-122.264134,37.870339],[-122.264240,37.870322],[-122.264161,37.870021]]]},""properties"":{}}"
24,37.87071995,-122.2606534,286626.6,2722,1939,2,COM1,C2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.261228,37.871151],[-122.261121,37.870634],[-122.260771,37.870679],[-122.260700,37.870340],[-122.260745,37.870334],[-122.260736,37.870291],[-122.260784,37.870285],[-122.260757,37.870155],[-122.260003,37.870253],[-122.260029,37.870377],[-122.260075,37.870371],[-122.260084,37.870416],[-122.260287,37.870389],[-122.260367,37.870777],[-122.260200,37.870799],[-122.260211,37.870852],[-122.260175,37.870857],[-122.260198,37.870970],[-122.260532,37.870927],[-122.260578,37.871146],[-122.260526,37.871153],[-122.260544,37.871239],[-122.261228,37.871151]]]},""properties"":{}}"
25,37.87298608,-122.2570843,107725143.5,828654.95,1976,1,RES3,C1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.256871,37.872854],[-122.256982,37.873184],[-122.257298,37.873118],[-122.257186,37.872788],[-122.256871,37.872854]]]},""properties"":{}}"
26,37.87456793,-122.2650672,1214750,6073.75,1950,3,RES3,S1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.265318,37.874663],[-122.265303,37.874492],[-122.265031,37.874507],[-122.265027,37.874463],[-122.265086,37.874460],[-122.265082,37.874422],[-122.264855,37.874434],[-122.264878,37.874687],[-122.265318,37.874663]]]},""properties"":{}}"
