id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost
5920,37.551,-122.336,1,1947,RES1,W1,2601.54,176580
5921,37.5509,-122.336,1,1947,RES1,W1,2538.38,176580
5922,37.5509,-122.338,1,1951,RES1,W1,2892.69,1139088
5923,37.5508,-122.336,1,1948,RES1,W1,2781.5,245589
5924,37.5508,-122.336,1,1947,RES1,W1,2367.96,89801
5925,37.5507,-122.337,1,1941,RES1,W1,2347.11,69075
5926,37.5506,-122.337,1,1941,RES1,W1,2480.85,69075
5927,37.5507,-122.335,1,1950,RES1,W1,2517.88,86714
5928,37.5507,-122.335,1,1941,RES1,W1,2672.65,198978
5929,37.5506,-122.335,1,1948,RES1,W1,3961.67,74539
5930,37.5506,-122.336,1,1946,RES1,W1,2282.65,797751
5931,37.5506,-122.335,1,1949,RES1,W1,2818.58,743416
5932,37.5506,-122.336,1,1950,RES1,W1,2553.44,96080
5933,37.5505,-122.335,1,1949,RES1,W1,2850.8,191325
5934,37.5505,-122.334,1,1950,RES1,W1,2102.48,438735
5935,37.5505,-122.336,1,1947,RES1,W1,2719.81,693485
5936,37.5505,-122.337,1,1941,RES1,W1,1924.11,228202
5937,37.5505,-122.337,1,1951,RES1,W1,2402.78,183761
5938,37.5504,-122.335,1,1942,RES1,W1,3514.07,788671
5939,37.5504,-122.336,1,1950,RES1,W1,2311.91,371889
5940,37.5503,-122.336,1,1950,RES1,W1,3344.02,371889
5941,37.5504,-122.336,1,1947,RES1,W1,2516.01,564326
5942,37.5504,-122.334,1,1947,RES1,W1,2065.58,324688
5943,37.5503,-122.337,2,1949,RES1,W1,2555.59,95065
5944,37.5502,-122.337,2,1949,RES1,W1,2595.33,95065
5945,37.5503,-122.334,1,1954,RES1,W1,2583.97,649482
5946,37.5503,-122.336,1,1945,RES1,W1,1880.93,71177
5947,37.5503,-122.335,1,1948,RES1,W1,1873.51,794577
5948,37.5502,-122.338,1,1958,RES1,W1,2089.83,389035
5949,37.5502,-122.336,1,1941,RES1,W1,2888.6,127179
5950,37.5502,-122.335,1,1941,RES1,W1,2600.82,1259500
5951,37.5502,-122.336,1,1948,RES1,W1,2753.84,140677
5952,37.5501,-122.335,1,1948,RES1,W1,2208.83,140677
5953,37.5502,-122.334,1,1950,RES1,W1,3279.5,248508
5954,37.5501,-122.336,1,1941,RES1,W1,2840.19,669010
5955,37.55,-122.336,1,1941,RES1,W1,2139.22,669010
5956,37.55,-122.338,1,1958,RES1,W1,2899.24,668454
5957,37.5501,-122.335,1,1946,RES1,W1,2058.11,692133
5958,37.55,-122.337,2,1957,RES1,W1,2709.78,623964
5959,37.55,-122.334,2,1949,RES1,W1,1847.02,360613
5960,37.55,-122.34,1,1957,RES1,W1,3379.23,514309
5961,37.55,-122.335,1,1948,RES1,W1,2854.07,175662
5962,37.5499,-122.334,2,1948,RES1,W1,2030.84,889347
5963,37.5499,-122.337,2,1947,RES1,W1,2907.07,172259
5964,37.5498,-122.336,2,1947,RES1,W1,3236.33,172259
5965,37.5499,-122.335,1,1948,RES1,W1,2667.56,194179
5966,37.5498,-122.336,1,1941,RES1,W1,3570.45,373300
5967,37.5499,-122.334,1,1952,RES1,W1,2102.54,88979
5968,37.5498,-122.335,1,1941,RES1,W1,2132.38,336440
5969,37.5498,-122.335,1,1951,RES1,W1,2159.52,328948
5970,37.5498,-122.339,1,1958,RES1,W1,703.988,808083
5971,37.5497,-122.339,1,1956,RES1,W1,2502.61,334631
5972,37.5497,-122.339,1,1956,RES1,W1,2747,334631
5973,37.5497,-122.34,1,1960,RES1,W1,2017.87,712904
5974,37.5497,-122.338,2,1958,RES1,W1,2251.09,303031
5975,37.5495,-122.338,2,1958,RES1,W1,2691.9,303031
5976,37.5497,-122.335,1,1942,RES1,W1,2192.06,91794
5977,37.5495,-122.335,1,1942,RES1,W1,3172.15,91794
