GP_file,Longitude,Latitude,SoilType
S_142_2063.csv,-122.2429,37.757,B
S_143_2064.csv,-122.2429,37.7615,B
S_144_2065.csv,-122.2429,37.766,B
S_145_2066.csv,-122.2429,37.7705,B
S_146_2067.csv,-122.2372,37.7525,B
S_147_2068.csv,-122.2372,37.757,B
S_148_2069.csv,-122.2372,37.7615,B
S_149_2070.csv,-122.2372,37.766,B
S_150_2071.csv,-122.2372,37.7705,B
S_151_2072.csv,-122.2315,37.7525,B
S_152_2073.csv,-122.2315,37.757,B
S_153_2074.csv,-122.2315,37.7615,B
S_154_2075.csv,-122.2315,37.766,B
S_155_2076.csv,-122.2258,37.757,B
S_156_2077.csv,-122.2258,37.7615,B
S_157_8.csv,-122.236,37.7507,B
S_158_9.csv,-122.2779,37.7851,B
S_159_10.csv,-122.2871,37.7852,B
S_160_11.csv,-122.2873,37.7881,B
S_161_13.csv,-122.2781,37.7894,B
S_162_14.csv,-122.2777,37.787,B
S_163_15.csv,-122.3126,37.7833,B
S_164_16.csv,-122.3125,37.7825,B
S_165_17.csv,-122.3124,37.7838,B
S_166_18.csv,-122.324,37.7818,B
S_167_19.csv,-122.3246,37.7895,B
S_168_20.csv,-122.3254,37.7956,B
S_169_21.csv,-122.2358,37.7593,A
S_170_22.csv,-122.2373,37.7665,A
S_171_23.csv,-122.2886,37.7747,A
S_172_24.csv,-122.2649,37.7733,A
S_173_25.csv,-122.2944,37.7724,B
S_174_26.csv,-122.2706,37.7683,A
S_175_27.csv,-122.2577,37.7607,B
S_176_31.csv,-122.2261,37.7551,B
S_177_32.csv,-122.2783,37.7764,A
